customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2821-DY38,Male,0,Yes,No,4,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),82.7,330.8,Yes
1091-DX21,Female,1,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.39,1910.35,No
8509-EY20,Male,0,No,No,64,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),88.16,5642.24,No
9207-AX89,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,42.78,213.9,No
1909-BW51,Male,0,No,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,104.16,7291.2,No
7153-DW18,Female,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.39,369.56,Yes
3254-BZ61,Male,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),111.72,558.6,Yes
7103-BY46,Male,0,Yes,No,52,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),110.54,5748.08,Yes
6631-DW11,Male,1,Yes,No,65,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.4,5616.0,No
4716-CZ28,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),86.85,347.4,Yes
5454-CZ96,Male,0,No,Yes,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),81.64,326.56,Yes
8250-BX59,Male,0,No,No,15,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Electronic check,72.4,1086.0,Yes
5718-EW53,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.51,175.02,No
6401-EZ60,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,98.16,981.6,Yes
1598-BZ54,Female,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,116.52,6292.08,No
8293-EY70,Male,0,No,Yes,53,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,93.33,4946.49,No
9111-EW69,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.53,136.59,Yes
7466-AX97,Female,1,No,No,25,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),91.06,2276.5,No
6490-DZ62,Female,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,117.53,587.65,Yes
2270-DY31,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.66,31.66,Yes
8951-DZ74,Female,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),87.47,3673.74,Yes
5341-CW80,Male,1,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.74,1898.92,No
3985-CX34,Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),105.66,422.64,No
9017-AY41,Female,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.54,1255.76,No
2004-CX31,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.59,1560.09,No
7696-CZ87,Female,0,No,No,53,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),92.53,4904.09,No
1308-EZ44,Female,0,No,No,68,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,118.98,8090.64,No
4047-BW65,Female,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,112.53,3826.02,Yes
3017-BY58,Female,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,99.63,597.78,No
5197-BY13,Female,0,Yes,No,5,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,57.59,287.95,Yes
6434-AZ15,Male,0,Yes,No,2,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,108.86,217.72,Yes
9339-CZ31,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,97.55,877.95,No
1596-BZ56,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.48,94.48,Yes
5250-DX42,Female,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.07,866.24,No
4318-CY63,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),119.95,959.6,Yes
9957-DW92,Male,1,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.14,504.84,Yes
1443-AY19,Female,0,No,No,4,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,55.26,221.04,Yes
2801-BX45,Male,0,Yes,No,2,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,79.49,158.98,Yes
8851-AY92,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),116.01,812.07,No
3922-DZ58,Male,1,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,43.47,2955.96,No
1919-EZ77,Male,0,No,Yes,64,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,106.41,6810.24,No
5570-BX18,Male,0,Yes,Yes,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,123.46,8765.66,No
8945-EY74,Female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),47.68,476.8,No
4399-BX52,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,45.1,2886.4,No
1442-AY68,Female,0,Yes,Yes,2,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.01,170.02,Yes
5582-CZ74,Female,1,Yes,No,64,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),79.77,5105.28,No
3052-CY52,Female,1,Yes,No,2,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),97.53,195.06,No
1025-CX11,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),122.02,1342.22,Yes
7553-DW96,Female,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,48.29,338.03,Yes
2129-EW59,Female,1,Yes,No,36,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),79.24,2852.64,Yes
6641-AX19,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,96.23,6832.33,No
8369-BW50,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,46.6,186.4,Yes
1559-EY57,Male,0,No,No,65,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,96.28,6258.2,No
